00A65B2C 0010 iEditorResourceManager;  [SI]                                                                                                                                                                                                                          
00A65B58 0002 std::bad_alloc: std::exception;  [SI]                                                                                                                                                                                                                  
00A65B64 0002 std::logic_error: std::exception;  [SI]                                                                                                                                                                                                                
00A65B70 0002 std::length_error: std::logic_error, std::exception;  [SI]                                                                                                                                                                                             
00A65B7C 0002 std::out_of_range: std::logic_error, std::exception;  [SI]                                                                                                                                                                                             
00A65B88 0002 std::runtime_error: std::exception;  [SI]                                                                                                                                                                                                              
00A65B94 0002 Ogre::UTFString::invalid_data: std::runtime_error, std::exception;  [SI]                                                                                                                                                                               
00A65D6C 0003 Ogre::SharedPtr<Ogre::Resource>;  [SI]                                                                                                                                                                                                                 
00A665C8 0007 CGame: Ogre::WindowEventUtilities;  [MI]                                                                                                                                                                                                               
00A665E8 0002 CGame: Ogre::RenderTargetListener, Ogre::WindowEventUtilities;  [MI]                                                                                                                                                                                   
00A665F4 0010 CGame: Ogre::RenderQueue::RenderableListener, Ogre::RenderTargetListener, Ogre::WindowEventUtilities;  [MI]                                                                                                                                            
00A66620 0006 CGame: iEditorResourceManager, Ogre::RenderQueue::RenderableListener, Ogre::RenderTargetListener, Ogre::WindowEventUtilities;  [MI]                                                                                                                    
00A6663C 0004 CGame: Ogre::WindowEventListener, iEditorResourceManager, Ogre::RenderQueue::RenderableListener, Ogre::RenderTargetListener, Ogre::WindowEventUtilities;  [MI]                                                                                         
00A66650 0013 CGame: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>, Ogre::FrameListener, Ogre::WindowEventListener, iEditorResourceManager, Ogre::RenderQueue::RenderableListener, Ogre::RenderTargetListener, Ogre::WindowEventUtilities;  [MI]
00A66844 0022 Ogre::DefaultHardwareBufferManager: Ogre::HardwareBufferManager, Ogre::Singleton<Ogre::HardwareBufferManager>;  [SI]                                                                                                                                   
00A69124 0018 Ogre::Rectangle2D;  [MI]                                                                                                                                                                                                                               
00A69170 0004 Ogre::Rectangle2D: Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<4>>, Ogre::Renderable;  [MI]                                                                                                                                                     
00A69184 0059 Ogre::Rectangle2D: Ogre::SimpleRenderable, Ogre::MovableObject, Ogre::ShadowCaster, Ogre::AnimableObject, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<4>>, Ogre::Renderable;  [MI]                                                              
00A692C8 0002 CGameClient;  [MI]                                                                                                                                                                                                                                     
00A692D4 0007 CGameClient: Ogre::RenderQueue::RenderableListener;  [MI]                                                                                                                                                                                              
00A692F4 0001 CGameClient: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>, Ogre::RenderTargetListener, Ogre::RenderQueue::RenderableListener;  [MI]                                                                                              
00A6B0FC 0004 iDamageShape;  [SI]                                                                                                                                                                                                                                    
00A6B110 0006 iMissile;  [SI]                                                                                                                                                                                                                                        
00A6B12C 0002 iUnitSpawner;  [SI]                                                                                                                                                                                                                                    
00A6B138 0001 CSkillEvent::CLineEmitterWrapper: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                            
00A6B18C 0001 CSkillEvent::CSkillEventPause: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                               
00A6B1B8 0002 CSkillEvent;  [MI]                                                                                                                                                                                                                                     
00A6B1C4 0006 CSkillEvent: iUnitSpawner;  [MI]                                                                                                                                                                                                                       
00A6B1E0 0004 CSkillEvent: iMissile, iUnitSpawner;  [MI]                                                                                                                                                                                                             
00A6B1F4 0001 CSkillEvent: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>, iDamageShape, iMissile, iUnitSpawner;  [MI]                                                                                                                           
00A6B914 0001 CAstarPathfinder: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                            
00A6B924 0057 CPathController: CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                   
00A6C8C4 0057 CPathNode: CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                         
00A6C9BC 0001 CCollisionList: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                              
00A6C9C4 0020 CBaseObjectDescriptor: CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                       
00A6D264 0019 CCameraShakeDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                               
00A6D58C 0019 CCinematicDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                 
00A6D634 0019 CDamageShapeDescriptor: CShapeDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                              
00A6ED44 0019 CEditorButtonDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                              
00A6EE14 0019 CEditorImageDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                               
00A6EEAC 0019 CGenericModelDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                               
00A6F224 0019 CItemDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                       
00A6F554 0020 CLayoutDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                     
00A6F67C 0019 CLightDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                      
00A6F8CC 0019 CMissileDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                    
00A705E4 0019 CMoneyTakerDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                
00A7065C 0020 CMonsterDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                    
00A70F04 0019 CMusicObjectDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                               
00A71074 0019 CPositionableObjectDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                        
00A710CC 0019 CPropertyNodeDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                               
00A7126C 0019 CRandomGroupDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                
00A71C5C 0019 CRoomPieceDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                  
